МОСКВА → САНКТ-ПЕТЕРБУРГ
(704 км, тариф газели: 33.9 ₽/км, тариф 20т: 94.5 ₽/км)
Подача: 6,000 ₽

Гибридная логика:
- 1-6 м³: расчет от газели (справедливая цена 23,866 ₽ для 6 м³)
- 7+ м³: стоимость 6 м³ + дополнительные кубометры по тарифу 20т

Объем    Старая логика    Новый расчет
1 м³     7,500 ₽          8,978 ₽
2 м³     7,955 ₽          11,955 ₽
3 м³     11,933 ₽         14,933 ₽
4 м³     15,910 ₽         17,910 ₽
5 м³     19,888 ₽         20,888 ₽
6 м³     23,866 ₽         23,866 ₽
7 м³     12,807 ₽         24,697 ₽
8 м³     14,636 ₽         25,529 ₽
9 м³     16,466 ₽         26,360 ₽
10 м³    18,295 ₽         27,192 ₽
11 м³    20,125 ₽         28,024 ₽
12 м³    21,954 ₽         28,855 ₽
13 м³    24,619 ₽         29,687 ₽
14 м³    26,513 ₽         30,518 ₽
15 м³    28,406 ₽         31,350 ₽
16 м³    30,300 ₽         32,182 ₽
17 м³    32,194 ₽         33,013 ₽
18 м³    34,088 ₽         33,845 ₽
19 м³    35,981 ₽         34,676 ₽
20 м³    37,875 ₽         35,508 ₽

