МОСКВА → САНКТ-ПЕТЕРБУРГ

ЕДИНЫЙ АЛГОРИТМ:
Разные PODACHA для разных категорий объемов

Формула:
Итоговая = PODACHA(категория) + объем × стоимость_1_м³

Параметры:
• 1-6 м³: PODACHA = 6,000 ₽, 1 м³ = 2,977.67 ₽
• 7-12 м³: PODACHA = 18,545 ₽, 1 м³ = 831.60 ₽
• 13-20 м³: PODACHA = 17,913 ₽, 1 м³ = 831.60 ₽

Объем    Старая    Новая
1 м³     7,500     8,978
2 м³     7,955     11,955
3 м³     11,933    14,933
4 м³     15,910    17,911
5 м³     19,888    20,888
6 м³     23,866    23,866
7 м³     12,807    24,366
8 м³     14,636    25,198
9 м³     16,466    26,029
10 м³    18,295    26,861
11 м³    20,125    27,692
12 м³    21,954    28,524
13 м³    24,619    28,724
14 м³    26,513    29,556
15 м³    28,406    30,387
16 м³    30,300    31,219
17 м³    32,194    32,050
18 м³    34,088    32,882
19 м³    35,981    33,714
20 м³    37,875    34,545

Проверка:
6 м³ = 23,866 ₽ (совпадает со старой логикой)

